HVTypeName,Date,Value
Ann_IncomeBeforeTax,2010-05-31,8243.00
Ann_IncomeBeforeTax,2009-05-31,7834.00
Ann_IncomeBeforeTax,2008-05-31,7834.00
Ann_IncomeNet,2015-05-31,9938.00
Ann_IncomeNet,2014-05-31,10955.00
Ann_IncomeNet,2013-05-31,10925.00
Ann_IncomeNet,2012-05-31,9981.00
Ann_IncomeNet,2011-05-31,8547.00
Ann_IncomeNet,2010-05-31,6135.00
Ann_IncomeNet,2009-05-31,5593.00
Ann_IncomeNet,2008-05-31,5521.00
Ann_IncomeOp,2015-05-31,9938.00
Ann_IncomeOp,2014-05-31,10955.00
Ann_IncomeOp,2013-05-31,10925.00
Ann_IncomeOp,2012-05-31,9981.00
Ann_IncomeOp,2011-05-31,12033.00
Ann_IncomeOp,2010-05-31,9062.00
Ann_IncomeOp,2009-05-31,8321.00
Ann_IncomeOp,2008-05-31,7844.00
Ann_Inventory,2015-05-31,314.00
Ann_Inventory,2014-05-31,189.00
Ann_Inventory,2013-05-31,240.00
Ann_Inventory,2012-05-31,158.00
Ann_Inventory,2011-05-31,303.00
Ann_Inventory,2010-05-31,259.00
Ann_Inventory,2009-05-31,0.00
Ann_Inventory,2008-05-31,0.00
Ann_LTDebt,2015-05-31,39959.00
Ann_LTDebt,2014-05-31,22589.00
Ann_LTDebt,2013-05-31,18494.00
Ann_LTDebt,2012-05-31,13524.00
Ann_LTDebt,2011-05-31,14772.00
Ann_LTDebt,2010-05-31,11510.00
Ann_LTDebt,2009-05-31,9237.00
Ann_LTDebt,2008-05-31,10235.00
Ann_LTDebt,2007-05-31,6240.00
Ann_LTDebt,2006-05-31,5740.00
Ann_Liab,2015-05-31,61805.00
Ann_Liab,2014-05-31,42819.00
Ann_Liab,2013-05-31,36667.00
Ann_Liab,2012-05-31,34240.00
Ann_Liab,2011-05-31,33759.00
Ann_Liab,2010-05-31,30780.00
Ann_Liab,2009-05-31,22326.00
Ann_Liab,2008-05-31,24243.00
Ann_LiabCur,2015-05-31,15291.00
Ann_LiabCur,2014-05-31,14389.00
Ann_LiabCur,2013-05-31,12872.00
Ann_LiabCur,2012-05-31,15388.00
Ann_LiabCur,2011-05-31,14192.00
Ann_LiabCur,2010-05-31,14691.00
Ann_LiabCur,2009-05-31,9149.00
Ann_LiabCur,2008-05-31,10029.00
Ann_PEAvg,2016-05-31,18.95
Ann_PEAvg,2015-05-31,18.55
Ann_PEAvg,2014-05-31,17.67
Ann_PEAvg,2013-05-31,14.97
Ann_PEAvg,2012-05-31,13.51
Ann_PEAvg,2011-05-31,20.53
Ann_PEAvg,2010-05-31,18.66
Ann_PEAvg,2009-05-31,17.95
Ann_PEAvg,2008-05-31,21.65
Ann_PEAvg,2007-05-31,23.87
Ann_Revenue,2015-05-31,38226.00
Ann_Revenue,2014-05-31,38275.00
Ann_Revenue,2013-05-31,37180.00
Ann_Revenue,2012-05-31,37121.00
Ann_Revenue,2011-05-31,35622.00
Ann_Revenue,2010-05-31,26820.00
Ann_Revenue,2009-05-31,23252.00
Ann_Revenue,2008-05-31,22430.00
Ann_Revenue,2007-05-31,18000.00
Ann_Revenue,2006-05-31,14380.00
Ann_SharesOut,2016-05-31,4305.00
Ann_SharesOut,2015-05-31,4503.00
Ann_SharesOut,2014-05-31,4604.00
Ann_SharesOut,2013-05-31,4844.00
Ann_SharesOut,2012-05-31,5095.00
Ann_SharesOut,2011-05-31,5128.00
Ann_SharesOut,2010-05-31,5073.00
Ann_SharesOut,2009-05-31,5130.00
Ann_SharesOut,2008-05-31,5229.00
Ann_SharesOut,2007-05-31,5269.00
Ann_SharesOutPref,2012-05-31,0.00
Ann_SharesOutPref,2011-05-31,0.00
Ann_SharesOutPref,2010-05-31,0.00
Ann_SharesOutPref,2009-05-31,0.00
Ann_SharesOutPref,2008-05-31,0.00
Ann_ROA,2016-05-31,7.98
Ann_ROA,2015-05-31,9.88
Ann_ROA,2014-05-31,12.73
Ann_ROA,2013-05-31,13.64
Ann_ROA,2012-05-31,13.14
Ann_ROA,2011-05-31,12.65
Ann_ROA,2010-05-31,11.26
Ann_ROA,2009-05-31,11.81
Ann_ROA,2008-05-31,13.49
Ann_ROA,2007-05-31,13.44
Ann_ROE,2016-05-31,18.55
Ann_ROE,2015-05-31,20.80
Ann_ROE,2014-05-31,23.94
Ann_ROE,2013-05-31,24.74
Ann_ROE,2012-05-31,23.92
Ann_ROE,2011-05-31,24.22
Ann_ROE,2010-05-31,21.95
Ann_ROE,2009-05-31,23.25
Ann_ROE,2008-05-31,27.64
Ann_ROE,2007-05-31,26.77
Ann_FCF,2016-05-31,12372.00
Ann_FCF,2015-05-31,12945.00
Ann_FCF,2014-05-31,14341.00
Ann_FCF,2013-05-31,13574.00
Ann_FCF,2012-05-31,13095.00
Ann_FCF,2011-05-31,10764.00
Ann_FCF,2010-05-31,8451.00
Ann_FCF,2009-05-31,7726.00
Ann_FCF,2008-05-31,7159.00
Ann_FCF,2007-05-31,5201.00
Ann_RND,2015-05-31,5524.00
Ann_RND,2014-05-31,5151.00
Ann_RND,2013-05-31,4850.00
Ann_RND,2012-05-31,4523.00
Ann_RND,2011-05-31,4519.00
Ann_RND,2010-05-31,3254.00
Ann_RND,2009-05-31,2767.00
Ann_Cash_End,2014-05-31,17769.00
Ann_Cash_End,2013-05-31,14613.00
Ann_Cash_End,2012-05-31,14955.00
Ann_Cash_End,2011-05-31,16163.00
Ann_Cash_End,2010-05-31,9914.00
Ann_Cash_End,2009-05-31,8995.00
Ann_Cash_Start,2014-05-31,14613.00
Ann_Cash_Start,2013-05-31,14955.00
Ann_Cash_Start,2012-05-31,16163.00
Ann_Cash_Start,2011-05-31,9914.00
Ann_Cash_Start,2010-05-31,8995.00
Ann_Cash_Start,2009-05-31,8262.00
Ann_AcctsPayable,2015-05-31,3177.00
Ann_AcctsPayable,2014-05-31,2827.00
Ann_AcctsPayable,2013-05-31,3181.00
Ann_AcctsPayable,2012-05-31,2968.00
Ann_SalePurchStock,2015-05-31,-6285.00
Ann_SalePurchStock,2014-05-31,-7678.00
Ann_SalePurchStock,2013-05-31,-9494.00
Ann_SalePurchStock,2012-05-31,-5123.00
Ann_FCFShare,2016-05-31,2.87
Ann_FCFShare,2015-05-31,2.99
Ann_FCFShare,2014-05-31,3.10
Ann_FCFShare,2013-05-31,2.65
Ann_FCFShare,2012-05-31,2.57
Ann_FCFShare,2011-05-31,2.10
Ann_FCFShare,2010-05-31,1.58
Ann_FCFShare,2009-05-31,1.55
Ann_FCFShare,2008-05-31,1.34
Ann_FCFShare,2007-05-31,0.99
Ann_Leverage,2016-05-31,2.37
Ann_Leverage,2015-05-31,2.27
Ann_Leverage,2014-05-31,1.93
Ann_Leverage,2013-05-31,1.83
Ann_Leverage,2012-05-31,1.79
Ann_Leverage,2011-05-31,1.85
Ann_Leverage,2010-05-31,2.00
Ann_Leverage,2009-05-31,1.89
Ann_Leverage,2008-05-31,2.05
Ann_Leverage,2007-05-31,2.04
Ann_QuickRatio,2016-05-31,3.57
Ann_QuickRatio,2015-05-31,3.92
Ann_QuickRatio,2014-05-31,3.12
Ann_QuickRatio,2013-05-31,2.97
Ann_QuickRatio,2012-05-31,2.41
Ann_QuickRatio,2011-05-31,2.50
Ann_QuickRatio,2010-05-31,1.64
Ann_QuickRatio,2009-05-31,1.86
Ann_QuickRatio,2008-05-31,1.68
Ann_QuickRatio,2007-05-31,1.24
Ann_CurRatio,2016-05-31,3.74
Ann_CurRatio,2015-05-31,4.13
Ann_CurRatio,2014-05-31,3.35
Ann_CurRatio,2013-05-31,3.23
Ann_CurRatio,2012-05-31,2.60
Ann_CurRatio,2011-05-31,2.76
Ann_CurRatio,2010-05-31,1.84
Ann_CurRatio,2009-05-31,2.03
Ann_CurRatio,2008-05-31,1.81
Ann_CurRatio,2007-05-31,1.37
Ann_ROIC,2016-05-31,10.59
Ann_ROIC,2015-05-31,13.05
Ann_ROIC,2014-05-31,17.10
Ann_ROIC,2013-05-31,18.74
Ann_ROIC,2012-05-31,17.94
Ann_ROIC,2011-05-31,17.85
Ann_ROIC,2010-05-31,16.58
Ann_ROIC,2009-05-31,17.37
Ann_ROIC,2008-05-31,18.92
Ann_ROIC,2007-05-31,18.97
