HVTypeName,Date,Value
Ann_IncomeBeforeTax,2010-09-30,18540.00
Ann_IncomeBeforeTax,2009-09-30,12066.00
Ann_IncomeBeforeTax,2008-09-30,8947.00
Ann_IncomeNet,2015-09-30,53394.00
Ann_IncomeNet,2014-09-30,39510.00
Ann_IncomeNet,2013-09-30,37037.00
Ann_IncomeNet,2012-09-30,41733.00
Ann_IncomeNet,2011-09-30,25922.00
Ann_IncomeNet,2010-09-30,14013.00
Ann_IncomeNet,2009-09-30,8235.00
Ann_IncomeNet,2008-09-30,6119.00
Ann_IncomeOp,2015-09-30,53394.00
Ann_IncomeOp,2014-09-30,39510.00
Ann_IncomeOp,2013-09-30,37037.00
Ann_IncomeOp,2012-09-30,41733.00
Ann_IncomeOp,2011-09-30,25922.00
Ann_IncomeOp,2010-09-30,18385.00
Ann_IncomeOp,2009-09-30,11740.00
Ann_IncomeOp,2008-09-30,8327.00
Ann_Inventory,2015-09-30,2349.00
Ann_Inventory,2014-09-30,2111.00
Ann_Inventory,2013-09-30,1764.00
Ann_Inventory,2012-09-30,791.00
Ann_Inventory,2011-09-30,776.00
Ann_Inventory,2010-09-30,1051.00
Ann_Inventory,2009-09-30,455.00
Ann_Inventory,2008-09-30,509.00
Ann_LTDebt,2015-09-30,53463.00
Ann_LTDebt,2014-09-30,28987.00
Ann_LTDebt,2013-09-30,16960.00
Ann_LTDebt,2012-09-30,0.00
Ann_LTDebt,2011-09-30,0.00
Ann_LTDebt,2010-09-30,0.00
Ann_LTDebt,2009-09-30,0.00
Ann_LTDebt,2008-09-30,0.00
Ann_LTDebt,2007-09-30,0.00
Ann_LTDebt,2006-09-30,0.00
Ann_Liab,2015-09-30,171124.00
Ann_Liab,2014-09-30,120292.00
Ann_Liab,2013-09-30,83451.00
Ann_Liab,2012-09-30,57854.00
Ann_Liab,2011-09-30,39756.00
Ann_Liab,2010-09-30,27392.00
Ann_Liab,2009-09-30,15861.00
Ann_Liab,2008-09-30,13874.00
Ann_LiabCur,2015-09-30,80610.00
Ann_LiabCur,2014-09-30,63448.00
Ann_LiabCur,2013-09-30,43658.00
Ann_LiabCur,2012-09-30,38542.00
Ann_LiabCur,2011-09-30,27970.00
Ann_LiabCur,2010-09-30,20722.00
